age,cost_of_ad,device_type,gender,in_initial_launch_location,income,n_drivers,n_vehicles,prior_ins_tenure,is_male,device_type_num,outcome
60,0.006584764402442802,iPhone,F,1,68331,2,3,16,0,2,0
45,0.006696496306038199,iPhone,F,0,47136,1,3,7,0,2,0
51,0.004799590575101094,desktop,F,1,88471,2,1,11,0,1,1
49,0.004975925540536477,Android,F,0,68266,2,1,9,0,0,0
25,0.004433077132844367,desktop,F,0,39128,2,3,2,0,1,0
47,0.00404305909178929,desktop,M,0,78534,2,1,13,1,1,0
52,0.004024763861272188,other,M,1,61078,2,2,4,1,4,0
45,0.005337235121673511,iPhone,M,1,71845,2,3,1,1,2,0
41,0.005275953573328367,other,F,1,46801,1,3,10,0,4,0
17,0.00474685558317315,laptop,F,1,52509,1,3,0,0,3,0
19,0.0034649625279512784,desktop,M,0,20243,1,2,0,1,1,0
29,0.0036917978652484195,desktop,M,0,49999,2,3,4,1,1,0
18,0.005039648410438759,other,F,1,19576,2,1,1,0,4,0
36,0.00364535172450568,desktop,M,1,47020,1,2,8,1,1,0
27,0.0033289137346630944,Android,M,1,38088,1,1,5,1,0,0
36,0.0035024605504633695,Android,M,0,56974,1,1,1,1,0,0
36,0.003946029076848113,desktop,M,1,75125,1,2,3,1,1,0
47,0.003877076463590996,desktop,M,1,83249,2,1,14,1,1,1
46,0.005222978297134545,desktop,F,0,62142,1,2,3,0,1,0
57,0.004773456906846774,other,F,0,89796,2,2,20,0,4,0
25,0.005201742001189233,iPhone,M,1,61382,1,3,3,1,2,0
16,0.0049333029395183005,iPhone,M,1,47600,2,3,0,1,2,0
32,0.0034814163051484744,laptop,M,1,34980,1,2,4,1,3,0
50,0.005498821253176469,other,F,0,86469,1,2,4,0,4,0
43,0.0037030131391132494,Android,,0,72669,2,3,4,0,0,0
58,0.004494018241255321,other,M,1,59040,1,2,10,1,4,0
24,0.0037957906545346095,desktop,M,0,51077,2,3,1,1,1,1
60,0.004272245913173375,desktop,M,1,89175,1,2,0,1,1,1
38,0.00450476386474589,other,F,1,38552,2,3,11,0,4,0
39,0.006081511676385749,iPhone,F,0,62450,1,2,4,0,2,0
55,0.006330756358003898,iPhone,F,1,57411,1,3,11,0,2,0
54,0.005040325638756241,other,F,0,91296,1,1,8,0,4,0
26,0.004387430910316292,desktop,F,0,30263,1,3,1,0,1,0
52,0.006700680353642373,iPhone,F,0,68575,2,3,17,0,2,0
45,0.004724035596264286,Android,F,0,71665,1,2,13,0,0,0
59,0.0038679330307125415,laptop,M,1,62077,2,2,7,1,3,0
42,0.004300098458914605,other,M,1,47361,1,2,5,1,4,0
17,0.004499224633505984,desktop,F,0,27779,2,3,0,0,1,0
20,0.005040507583695722,other,F,0,41908,2,1,2,0,4,0
31,0.005104111119484481,Android,F,0,65057,1,2,5,0,0,0
20,0.005116714377949713,laptop,F,1,23977,2,1,0,0,3,1
40,0.0059547888301422535,iPhone,F,1,68961,1,3,12,0,2,0
55,0.005399929313223478,desktop,F,1,74327,1,1,1,0,1,0
41,0.00536341124671638,iPhone,M,0,41695,2,3,12,1,2,0
45,0.004778193668930332,Android,F,1,78896,1,3,7,0,0,0
28,0.004184369991818161,laptop,M,0,40688,1,1,4,1,3,0
24,0.004483152477872914,other,F,1,36184,2,2,3,0,4,1
18,0.004763665921428963,laptop,F,0,38394,2,1,1,0,3,0
50,0.003868829995172255,Android,M,0,69075,2,1,10,1,0,0
16,0.004503816103006953,laptop,F,0,43660,1,1,0,0,3,1
28,0.005379762303325637,iPhone,M,0,58631,2,1,5,1,2,0
37,0.004824302093953681,other,F,1,43871,2,3,2,0,4,0
18,0.004919019039874868,iPhone,M,1,31968,1,1,1,1,2,0
37,0.004943731156869879,iPhone,M,1,37648,2,1,5,1,2,0
17,0.0041453092753118695,other,M,0,19877,2,1,0,1,4,0
28,0.0051198174930180175,iPhone,M,0,39421,1,2,5,1,2,0
51,0.004530993760462446,desktop,F,0,57631,1,1,8,0,1,0
59,0.0048301499328735524,Android,F,0,88897,1,2,9,0,0,0
39,0.005184898116511413,desktop,F,0,47571,2,3,2,0,1,0
28,0.004201013594017887,Android,M,1,44026,2,3,3,1,0,0
55,0.0056794591411621275,iPhone,M,0,58490,2,3,7,1,2,0
33,0.005997433541332288,iPhone,F,0,37251,2,3,7,0,2,0
40,0.005425475671101434,iPhone,M,1,64502,2,2,11,1,2,0
46,0.004679526282659804,laptop,F,1,59579,2,2,1,0,3,0
28,0.006351370386758516,iPhone,F,1,52712,2,1,3,0,2,0
39,0.0064088207205502306,iPhone,F,1,68131,1,3,4,0,2,0
30,0.0037089527753555174,other,M,0,58344,2,2,7,1,4,0
47,0.0047356248781483985,desktop,F,1,62321,2,2,14,0,1,0
20,0.003985873295936174,laptop,M,1,25122,2,1,2,1,3,0
30,0.003496646322869564,Android,M,0,51873,1,1,3,1,0,0
37,0.005782382530131455,iPhone,M,1,72594,2,2,2,1,2,0
16,0.004814091034178786,other,F,1,46933,2,2,0,0,4,0
25,0.0053370036392359045,iPhone,M,1,58805,1,1,1,1,2,0
51,0.0049387929741302955,Android,F,1,63310,2,3,10,0,0,0
60,0.004738950225543294,other,F,1,84556,2,1,0,0,4,0
24,0.0036591473158130005,other,M,1,38777,1,3,2,1,4,0
59,0.005375357810796864,Android,F,1,96196,2,3,0,0,0,0
24,0.004774490580755725,other,F,0,28175,2,2,3,0,4,0
28,0.0033732415066020463,laptop,M,1,47965,2,1,5,1,3,0
22,0.005131345310233492,desktop,F,0,26554,2,1,1,0,1,0
40,0.004457453180615994,Android,F,1,69796,1,1,1,0,0,0
49,0.004619137669030227,other,F,0,56257,2,1,5,0,4,0
42,0.004729757176281517,other,F,1,55479,1,3,2,0,4,0
58,0.0038554409775264763,laptop,M,1,88078,2,1,16,1,3,1
16,0.003488891462909449,other,M,0,50462,1,2,0,1,4,0
52,0.004166299137778536,laptop,M,1,70868,2,2,2,1,3,0
45,0.004865052758523336,other,F,1,56477,2,3,13,0,4,0
27,0.005468644756866152,iPhone,M,1,52791,2,2,0,1,2,0
18,0.00408873647103822,laptop,M,0,32238,2,1,0,1,3,0
42,0.0038300960675696732,desktop,M,0,63365,1,2,12,1,1,0
26,0.0046411555679414995,other,F,1,56271,1,1,0,0,4,0
41,0.0037371103625766606,desktop,M,0,49944,1,2,1,1,1,0
45,0.005163581539318103,desktop,F,1,60878,1,2,10,0,1,0
44,0.005546988557431959,iPhone,M,0,45183,2,2,13,1,2,0
27,0.005447383141765388,iPhone,M,1,27734,2,1,5,1,2,1
25,0.005192058143740463,iPhone,M,1,39166,1,2,4,1,2,0
19,0.0049624096952184706,other,F,0,22189,2,2,0,0,4,0
28,0.0058079441698587735,iPhone,F,0,55635,1,2,0,0,2,0
16,0.004704012512383461,iPhone,M,1,26947,1,1,0,1,2,0
48,0.004414327368003895,laptop,,0,61573,2,2,6,0,3,0
41,0.005083621557764669,iPhone,M,1,62192,1,1,5,1,2,0
41,0.006567961702459193,iPhone,F,1,45326,2,1,3,0,2,0
33,0.005329576024585236,iPhone,M,1,72247,1,1,4,1,2,0
22,0.0035520465473482836,laptop,M,0,30711,1,2,3,1,3,0
56,0.005472103254981614,desktop,F,1,95880,2,3,0,0,1,0
44,0.004672605904498795,laptop,F,1,44871,1,3,11,0,3,0
55,0.004609923016559746,other,F,0,60202,1,2,19,0,4,0
39,0.0051280639681474055,iPhone,M,1,41484,1,2,3,1,2,0
54,0.0065608728595955654,iPhone,F,1,56595,2,3,10,0,2,0
42,0.004959311752126172,Android,F,1,55488,1,1,3,0,0,0
58,0.003763545473533577,laptop,M,0,79078,1,3,16,1,3,0
56,0.004498274526627511,desktop,M,0,65275,2,1,1,1,1,0
24,0.005464989104770677,iPhone,M,0,51934,1,1,0,1,2,0
35,0.0060989694304995285,iPhone,F,0,74705,1,3,2,0,2,0
34,0.0037382444731721095,Android,M,1,57565,1,3,1,1,0,0
26,0.005020324464409638,laptop,F,1,54405,2,2,5,0,3,0
46,0.005186648235139991,desktop,F,0,82231,2,2,4,0,1,0
32,0.003926025356656643,other,M,1,68840,2,2,6,1,4,0
20,0.005712834272247964,iPhone,F,1,20273,2,1,0,0,2,0
48,0.004969551114349147,other,F,1,73168,2,2,11,0,4,0
57,0.003764228200338415,desktop,M,0,67640,1,2,18,1,1,0
43,0.00512645541204292,laptop,F,1,67129,2,3,10,0,3,0
57,0.005700952713687412,iPhone,M,1,80685,1,2,1,1,2,0
59,0.003844288034494332,Android,M,0,68657,1,3,14,1,0,0
54,0.004514145590521363,desktop,M,0,92414,1,1,12,1,1,0
21,0.0037106468219137447,other,M,0,40806,1,2,2,1,4,0
50,0.005276691114884123,other,F,1,87526,2,3,3,0,4,0
38,0.005196389378098572,other,F,0,49036,1,2,0,0,4,0
16,0.0033306342561274863,laptop,M,0,44242,2,1,0,1,3,0
39,0.0068384833114611965,iPhone,F,0,71939,1,3,2,0,2,0
44,0.00469935191648414,desktop,F,0,56575,1,1,12,0,1,0
42,0.006297728537653994,iPhone,F,1,47616,1,3,4,0,2,0
33,0.005002804592255754,laptop,F,0,64797,1,2,7,0,3,0
22,0.0044310683584387195,desktop,F,0,28346,2,1,0,0,1,0
16,0.003589453621331976,other,M,1,55608,2,3,0,1,4,0
39,0.0053653050607147005,Android,F,1,42751,1,2,6,0,0,0
37,0.0034928945394531287,other,M,0,76446,2,1,0,1,4,0
49,0.0039031265927868216,Android,M,1,82745,1,3,15,1,0,0
28,0.0042495975766149,desktop,,0,30998,2,3,2,0,1,0
36,0.00478791628047142,other,F,1,58828,2,1,1,0,4,0
46,0.00432985872328322,Android,M,0,55382,2,3,6,1,0,0
52,0.004688052851381961,desktop,F,0,82592,2,1,17,0,1,0
44,0.006045469677112202,iPhone,F,0,49861,1,2,2,0,2,0
17,0.004121503879558376,Android,M,0,48214,2,2,0,1,0,0
58,0.004375540464608256,laptop,,0,63927,1,3,15,0,3,0
37,0.0043362479971061725,Android,M,0,73824,1,3,6,1,0,0
43,0.0035191394267994,desktop,M,0,50299,2,1,1,1,1,0
53,0.005484068618865275,laptop,F,0,73537,1,3,4,0,3,0
52,0.004499849498150486,laptop,M,0,77437,1,2,6,1,3,0
36,0.0034665859228023323,laptop,M,1,50558,1,3,9,1,3,0
16,0.0033074253580083358,Android,M,1,45870,1,2,0,1,0,0
34,0.00433033511198014,laptop,M,0,66923,1,3,4,1,3,0
23,0.005788812588312796,iPhone,F,1,47687,2,3,2,0,2,0
37,0.006597395462928771,iPhone,F,0,68949,1,3,2,0,2,0
35,0.005107714185054322,Android,F,0,57826,2,1,7,0,0,0
41,0.0038037724537947743,Android,M,0,76914,2,3,11,1,0,0
24,0.004377560959472387,Android,F,1,61824,1,3,1,0,0,0
60,0.006462225776359121,iPhone,F,1,60598,1,2,6,0,2,0
52,0.0046160477319030745,other,F,0,55691,1,3,5,0,4,0
46,0.005086972546596456,laptop,F,0,55736,1,1,13,0,3,0
41,0.00659798410591599,iPhone,F,0,60837,1,1,7,0,2,0
27,0.003637323055949825,other,M,1,56171,1,3,2,1,4,0
23,0.0038168504909648145,other,M,0,24509,1,1,1,1,4,0
52,0.005519954191182529,laptop,F,1,83731,1,2,12,0,3,0
60,0.0037848898485700077,desktop,M,1,95226,1,2,2,1,1,0
60,0.005313749124250021,desktop,F,0,95322,2,2,18,0,1,0
57,0.0056247217685523095,iPhone,M,0,57348,1,1,5,1,2,0
36,0.00444782092900944,laptop,F,0,46565,1,1,10,0,3,0
32,0.004491603198521221,laptop,F,0,67679,1,1,5,0,3,0
58,0.005024920287578218,desktop,F,0,93002,2,1,9,0,1,0
52,0.003729839505612331,laptop,M,1,85462,2,3,17,1,3,0
22,0.006677422928021907,iPhone,F,0,36104,1,1,2,0,2,0
54,0.0036143596594769407,Android,M,0,81657,2,3,19,1,0,0
32,0.0049965256704788165,other,F,1,48657,1,2,1,0,4,0
60,0.004314444967896806,desktop,,0,72624,1,3,8,0,1,0
52,0.005484017701175863,Android,F,0,53698,1,2,12,0,0,0
31,0.004639357509614359,laptop,F,0,35322,1,2,6,0,3,1
21,0.004807946855255634,iPhone,M,1,21646,2,2,1,1,2,0
30,0.006621343249133215,iPhone,F,1,68589,1,1,4,0,2,0
47,0.0035690661523980665,laptop,M,0,86810,2,3,8,1,3,0
19,0.005282310124096067,iPhone,M,0,50251,2,2,1,1,2,0
32,0.0065554223748100545,iPhone,F,0,69195,1,3,6,0,2,0
19,0.0036289600082207193,laptop,M,1,30999,1,3,1,1,3,0
38,0.004685187431243324,Android,F,1,52992,2,3,8,0,0,0
21,0.003939953030050075,desktop,,1,26026,2,2,0,0,1,0
21,0.004018346918779262,desktop,M,0,53299,1,3,2,1,1,1
16,0.004173900262238731,other,F,1,42572,1,3,0,0,4,0
28,0.003964078101882291,laptop,M,0,62610,2,3,1,1,3,0
18,0.005193684484014597,iPhone,M,1,26737,1,1,1,1,2,0
19,0.006604045175008947,iPhone,F,1,41148,2,2,0,0,2,0
31,0.0033122343079598675,other,M,0,44963,2,2,4,1,4,0
56,0.003617496729163409,laptop,M,1,87999,2,1,14,1,3,1
16,0.004050196276623261,Android,M,1,38919,2,2,0,1,0,0
27,0.004354743779369417,desktop,F,1,39946,1,2,3,0,1,0
48,0.0037060952328942616,other,M,0,64392,1,2,4,1,4,0
41,0.004518694992880295,other,F,1,58660,2,2,8,0,4,0
44,0.0053235762655028255,Android,F,1,67542,1,1,0,0,0,1
28,0.004023923986935716,desktop,M,0,55594,2,1,3,1,1,1
18,0.0046690678342441,other,F,0,45596,1,3,0,0,4,0
47,0.004427678594498929,laptop,M,0,54191,2,2,4,1,3,0
17,0.003848310318513481,laptop,M,0,20410,2,1,0,1,3,0
37,0.0038559292438821117,other,M,1,55495,1,3,4,1,4,0
43,0.005196727604828924,laptop,F,0,61424,1,3,3,0,3,0
32,0.005431100444057496,iPhone,M,0,64920,2,3,1,1,2,0
28,0.006770398795844446,iPhone,F,0,45947,1,1,0,0,2,0
25,0.004774971181947335,desktop,F,1,51692,1,1,3,0,1,0
60,0.004027072827844867,other,M,0,93414,2,1,1,1,4,0
19,0.004436968636809594,Android,F,1,46398,2,1,1,0,0,0
19,0.0036620581641805122,desktop,M,0,37698,1,1,0,1,1,0
54,0.00484435669505245,Android,F,0,75907,1,2,11,0,0,0
22,0.004748862063621832,Android,F,0,60594,1,3,2,0,0,0
39,0.006777193799811344,iPhone,F,0,44716,2,3,6,0,2,0
24,0.00568181800295844,iPhone,M,0,28907,1,1,0,1,2,1
55,0.005177831944761476,iPhone,M,1,57871,2,2,4,1,2,0
42,0.004330849179596646,Android,M,1,49695,2,3,10,1,0,0
20,0.004989656356315652,iPhone,M,1,28449,1,2,1,1,2,0
52,0.005491538417599987,other,F,0,85651,1,3,17,0,4,0
26,0.0035314941889563545,laptop,M,1,65794,2,3,3,1,3,0
27,0.0037738177647274286,laptop,M,0,56847,1,1,4,1,3,0
49,0.0047139294502557254,Android,F,1,60213,1,2,3,0,0,0
50,0.006873382842470865,iPhone,F,0,67723,1,2,4,0,2,0
19,0.003273246156174152,desktop,M,0,40270,1,1,1,1,1,0
51,0.0054952612842415535,other,F,1,72275,1,3,9,0,4,0
56,0.005097388694713396,Android,F,0,57024,1,2,8,0,0,0
53,0.004346847029642649,Android,,0,66510,2,3,17,0,0,0
30,0.0037460559057572716,laptop,,1,40200,1,2,6,0,3,0
43,0.004615028022643909,desktop,F,1,73106,2,1,2,0,1,0
27,0.004932918648758926,iPhone,M,0,47326,2,3,0,1,2,0
27,0.0045152538345383415,desktop,F,1,54944,1,3,0,0,1,0
57,0.003953990548705428,desktop,M,1,81764,1,1,3,1,1,1
23,0.005872635605771828,iPhone,F,0,40541,1,3,0,0,2,0
56,0.0046992300984295115,laptop,F,0,69259,1,1,2,0,3,0
52,0.0035758755065763478,Android,M,1,67978,2,1,4,1,0,1
60,0.00389673849122648,desktop,M,1,95693,1,3,3,1,1,0
48,0.0063653830557121064,iPhone,F,1,75992,1,1,7,0,2,0
38,0.004604522457284751,desktop,F,1,45217,2,1,2,0,1,0
34,0.0049445063819818415,desktop,F,1,36840,2,1,1,0,1,0
27,0.004420220035710316,laptop,F,1,54868,2,3,5,0,3,0
58,0.0042417317152702244,Android,M,1,90718,2,3,8,1,0,1
32,0.005266695392737861,iPhone,M,0,57598,1,1,2,1,2,0
46,0.005454771682676195,Android,F,0,67171,2,1,2,0,0,0
27,0.004871743115436297,other,F,1,54128,2,2,3,0,4,0
56,0.004098747240109523,other,M,1,88578,1,1,17,1,4,0
47,0.003705193068993907,laptop,M,0,52718,1,2,7,1,3,0
16,0.003219577389891162,laptop,M,0,23219,2,1,0,1,3,0
38,0.004622497408470045,other,F,1,65595,2,1,8,0,4,0
30,0.004996122534311661,desktop,F,0,31726,1,3,6,0,1,0
43,0.004300476977215507,laptop,M,1,81923,1,1,7,1,3,0
17,0.004739183154635638,desktop,F,0,17817,1,2,0,0,1,0
42,0.00639018450060131,iPhone,F,0,61628,2,1,11,0,2,1
37,0.005251157142240214,Android,F,1,40932,1,3,2,0,0,0
18,0.004734155921275964,desktop,F,0,47772,1,3,1,0,1,0
32,0.0038415010447618385,other,M,1,38025,1,3,4,1,4,0
24,0.006345083404792198,iPhone,F,0,60653,1,2,1,0,2,0
20,0.004003339260604069,other,M,1,23582,2,2,0,1,4,0
57,0.004173190167090277,desktop,M,1,80770,2,1,2,1,1,1
37,0.005081909946777752,iPhone,M,0,41280,2,1,1,1,2,0
16,0.005136663146690449,desktop,F,1,21573,1,1,0,0,1,0
52,0.005463509141419864,desktop,F,0,58108,2,3,10,0,1,0
16,0.0038856881248640813,laptop,M,1,41601,2,2,0,1,3,0
24,0.0032636853106854523,laptop,M,0,33842,2,2,4,1,3,0
40,0.003478752859571605,Android,M,1,70350,1,3,2,1,0,0
56,0.006576300797404936,iPhone,F,0,88874,1,3,5,0,2,0
54,0.0035800129026970265,Android,M,1,82239,1,2,11,1,0,0
59,0.004156900861470325,laptop,M,1,68987,1,1,2,1,3,0
47,0.0045641139940530645,Android,F,0,79696,1,1,2,0,0,0
36,0.00471336847669802,desktop,F,0,59811,1,2,9,0,1,0
20,0.0038502920830559787,Android,M,0,48969,2,3,1,1,0,0
24,0.004649033230371781,desktop,F,0,50275,2,3,2,0,1,0
55,0.004633490548150248,laptop,F,0,79489,2,2,10,0,3,0
42,0.005119745296100043,laptop,F,1,58044,1,2,11,0,3,0
51,0.003909280420346776,Android,M,0,88364,1,1,5,1,0,0
20,0.0038424844826394004,desktop,M,0,50702,2,2,1,1,1,1
45,0.00464947099984825,desktop,F,0,73384,1,1,12,0,1,0
37,0.004484326434421354,laptop,F,0,68209,2,2,3,0,3,0
45,0.004770186619223703,other,F,0,58989,1,3,10,0,4,0
18,0.0033914928876461136,other,M,1,21544,2,1,0,1,4,0
17,0.005943905317523096,iPhone,F,1,21538,2,2,0,0,2,0
21,0.004394078289796033,other,F,1,38003,2,3,0,0,4,0
19,0.004131941644393661,Android,M,0,41890,2,2,0,1,0,1
46,0.0040209084426095516,other,M,1,46650,1,3,12,1,4,0
54,0.004436501112421297,Android,M,0,63863,1,1,0,1,0,0
25,0.0042382386062335894,other,M,1,25240,1,2,4,1,4,0
24,0.00493644608755474,desktop,F,1,51536,1,3,1,0,1,0
26,0.005715104455458902,iPhone,M,1,63803,2,1,5,1,2,1
39,0.004038911677293838,Android,M,1,71711,2,1,1,1,0,1
45,0.004424070159830758,Android,M,1,79286,2,2,6,1,0,0
37,0.00496489181013895,other,F,0,73225,2,1,2,0,4,0
50,0.004495363221225293,other,,1,56502,2,2,9,0,4,0
22,0.003969943679211488,laptop,M,0,54532,1,3,0,1,3,0
55,0.005401705256258256,laptop,F,0,73999,2,3,1,0,3,0
29,0.004240551495883171,desktop,M,0,59774,2,2,6,1,1,0
38,0.004663604422715375,desktop,F,1,71263,2,2,3,0,1,0
58,0.005095530064897587,iPhone,M,1,60141,2,2,13,1,2,0
25,0.0034918311130683094,Android,M,1,53181,2,3,4,1,0,0
41,0.004349391714604747,desktop,M,0,49445,2,3,6,1,1,0
40,0.003499577923938817,laptop,M,0,55136,2,2,6,1,3,0
24,0.0044437625766788015,Android,F,0,45129,2,3,1,0,0,0
21,0.005130594394001364,laptop,F,0,56630,1,2,0,0,3,0
21,0.00339655517130883,other,,1,44469,1,1,2,0,4,0
57,0.005229257695464409,laptop,F,0,74070,1,2,12,0,3,0
33,0.004257199025421548,laptop,M,0,63089,1,1,1,1,3,0
23,0.004724245051180002,Android,F,0,28071,2,1,0,0,0,0
39,0.0048765172949375,other,F,0,43821,1,2,6,0,4,0
56,0.0043685490551673145,other,M,0,85548,2,1,20,1,4,0
27,0.0033872071395510124,laptop,,1,29061,1,1,4,0,3,0
37,0.006062845259652367,iPhone,F,1,44968,1,2,4,0,2,0
17,0.005699497618433384,iPhone,F,0,31218,1,3,0,0,2,0
24,0.0051932293609676505,Android,F,0,37057,1,1,3,0,0,1
38,0.003630093148447272,other,M,1,50652,2,2,6,1,4,1
28,0.005074099526150761,laptop,F,1,38856,1,2,2,0,3,0
47,0.005077295650117441,laptop,F,1,54048,2,2,10,0,3,0
43,0.0038794033840838745,Android,,0,47211,2,3,13,0,0,0
18,0.0032099399503666905,Android,M,1,44103,2,3,1,1,0,0
27,0.004926954611626716,Android,F,1,41102,1,2,0,0,0,0
39,0.004106802621847908,desktop,M,0,39714,1,2,11,1,1,0
29,0.006073614252521111,iPhone,F,1,54270,2,3,0,0,2,0
29,0.003972131921918699,laptop,M,0,56639,2,1,4,1,3,0
43,0.006428650968423424,iPhone,F,1,75370,1,2,12,0,2,0
33,0.0037128575181694474,other,M,1,71742,1,1,5,1,4,0
52,0.003651058051002345,laptop,M,0,70636,1,2,14,1,3,0
41,0.004505119817777353,Android,F,0,71794,1,3,1,0,0,0
42,0.0051946134349195264,Android,F,1,78467,2,2,1,0,0,0
47,0.005407703755631871,other,F,0,71504,2,2,3,0,4,0
22,0.00408138877039849,desktop,M,0,43158,1,1,0,1,1,0
43,0.0069195650297771485,iPhone,F,0,78229,1,1,13,0,2,1
60,0.004863727130959399,desktop,F,0,64917,1,2,9,0,1,0
60,0.006226288706953321,iPhone,F,1,67857,1,2,14,0,2,0
25,0.004827884722336581,desktop,F,1,40762,2,3,4,0,1,0
58,0.004346201982619122,other,M,1,75289,2,2,2,1,4,0
21,0.004770266928467717,iPhone,M,1,53414,1,3,0,1,2,0
16,0.005868661458000506,iPhone,F,0,38311,2,2,0,0,2,0
53,0.005248784830843636,iPhone,M,1,61523,2,2,3,1,2,0
39,0.00381309398326424,other,M,1,57208,1,2,1,1,4,0
59,0.006330562461440175,iPhone,F,1,66222,1,3,3,0,2,0
45,0.004715578725325511,other,F,0,68065,1,2,7,0,4,0
51,0.00644084842345064,iPhone,F,0,83911,2,2,12,0,2,0
37,0.004102001609563977,Android,M,0,62068,2,2,0,1,0,0
43,0.004959562753494443,other,F,0,61083,1,2,9,0,4,0
47,0.006023137771003383,iPhone,F,1,54548,1,1,7,0,2,0
18,0.004062600289733862,laptop,M,1,32841,1,1,1,1,3,0
60,0.004095171660227368,desktop,M,1,77581,2,2,22,1,1,1
26,0.0033542425667127877,laptop,M,0,26203,2,2,5,1,3,0
48,0.005146645453776005,iPhone,M,1,52551,2,3,10,1,2,0
37,0.004547515052068017,other,F,1,38364,1,1,5,0,4,0
32,0.0033210064727686893,laptop,M,0,70217,1,1,7,1,3,1
31,0.0038352691842850036,desktop,M,1,45961,1,1,4,1,1,1
26,0.004994815004101255,Android,F,0,58156,1,1,3,0,0,0
50,0.005327749478464026,Android,F,1,50888,2,3,14,0,0,0
35,0.0044979003874856035,desktop,F,1,36358,2,3,8,0,1,0
42,0.004997584205128345,Android,F,0,58014,1,3,0,0,0,0
60,0.004565453060522108,desktop,M,1,67073,1,2,12,1,1,0
56,0.00414914783907901,Android,M,1,81626,1,3,10,1,0,0
33,0.004763459623123206,laptop,F,1,41058,1,1,5,0,3,0
45,0.004916317472464763,desktop,F,1,54642,1,2,14,0,1,0
25,0.005049785064866593,Android,F,1,29234,1,3,2,0,0,1
16,0.004648366442217094,Android,F,1,19486,1,1,0,0,0,0
16,0.0040387220961098785,desktop,M,1,38951,1,2,0,1,1,0
48,0.005898259837334737,iPhone,M,0,86353,2,1,13,1,2,1
34,0.004739113602689704,Android,F,0,61693,2,1,6,0,0,0
22,0.005524380249814447,iPhone,M,1,43134,2,2,3,1,2,0
24,0.004544996096235499,other,F,0,43730,1,2,1,0,4,0
35,0.004876571396305421,other,F,1,44083,1,3,1,0,4,0
60,0.004020505664955429,other,M,1,90575,2,3,13,1,4,0
42,0.00503520855059362,other,F,1,51213,1,1,12,0,4,0
35,0.006727805235187285,iPhone,F,0,72065,2,3,8,0,2,0
19,0.00427465909253577,desktop,F,1,22561,2,1,1,0,1,0
33,0.004194314124441629,Android,M,0,54712,1,2,7,1,0,1
23,0.00445354358356485,laptop,F,0,31939,1,3,3,0,3,0
59,0.004704708863699005,desktop,F,0,72153,2,2,19,0,1,0
16,0.0032636070248018385,laptop,M,0,29388,1,3,0,1,3,0
17,0.0051526962663534575,desktop,F,1,48701,1,2,0,0,1,1
31,0.004946197164816095,laptop,F,1,40584,2,3,6,0,3,0
27,0.004970351040632713,iPhone,M,0,62827,1,3,5,1,2,0
46,0.004851189220442033,laptop,F,1,64034,1,2,11,0,3,0
60,0.00505708227992152,other,F,0,78574,2,2,0,0,4,0
52,0.005428108338021177,desktop,F,1,54793,2,1,14,0,1,0
38,0.003880638379572627,Android,M,0,61445,2,2,2,1,0,0
48,0.0038318670026655003,laptop,M,0,57922,2,2,5,1,3,0
52,0.00543616002350543,Android,F,1,56470,1,2,12,0,0,0
57,0.0053453979985334365,laptop,F,1,90225,2,2,18,0,3,0
49,0.0051074750240883695,laptop,F,1,87305,2,1,11,0,3,0
41,0.0054094339043962505,iPhone,M,0,47961,1,1,1,1,2,0
59,0.005845813874105512,iPhone,M,1,84171,1,2,5,1,2,0
42,0.003861528452659786,desktop,M,0,46776,2,1,13,1,1,0
39,0.004378870863895087,desktop,M,0,47730,2,1,6,1,1,0
52,0.003721192742155149,other,M,0,66778,2,1,9,1,4,0
26,0.004463539610156709,desktop,F,1,32304,1,3,0,0,1,0
24,0.003425304356234977,laptop,M,0,46328,2,2,0,1,3,0
57,0.0039264851926153815,laptop,M,1,80075,1,1,16,1,3,0
51,0.004079152422831534,other,,0,55644,2,1,12,0,4,0
24,0.00378053802289754,other,M,1,63419,1,1,0,1,4,0
17,0.004138114817798652,other,M,0,27345,2,2,0,1,4,0
20,0.004897517908303502,other,F,0,55778,2,3,0,0,4,0
23,0.004430511256862739,desktop,F,1,40097,1,2,3,0,1,1
19,0.004995662072807532,desktop,F,0,23778,2,1,1,0,1,0
52,0.003998771484990423,other,M,0,88138,1,2,2,1,4,0
24,0.003465245041030176,desktop,M,1,57266,1,3,3,1,1,0
38,0.006653613242669571,iPhone,F,1,39727,2,2,0,0,2,0
28,0.004045681515464394,laptop,M,1,53370,1,3,0,1,3,0
60,0.003717992556818923,laptop,M,0,88701,2,2,3,1,3,0
55,0.004782033424764803,Android,F,1,70608,1,2,1,0,0,0
53,0.004403255809544227,laptop,M,0,53976,2,1,1,1,3,0
31,0.004853719428137883,iPhone,M,0,49520,1,1,2,1,2,0
38,0.005036590283489256,laptop,F,0,46020,1,2,7,0,3,0
20,0.003913133858909599,other,M,1,49067,1,3,0,1,4,0
39,0.004893445402565436,laptop,F,1,74482,1,3,5,0,3,0
19,0.0050314253516192614,Android,F,1,27987,2,2,0,0,0,0
49,0.005467909700834045,desktop,F,0,51350,1,2,4,0,1,0
60,0.004870298572465534,desktop,F,1,62212,2,3,15,0,1,0
53,0.004548848477771676,desktop,F,1,85463,1,2,12,0,1,0
